,locality,lithology,f,f_min,f_max,ref,mineralogy,method,n
Tauxe2004,Subei,red beds,0.49,0.37,0.64,"Tauxe and Kent, 2004",hematite,EI,222
Tauxe2005,Potwar,red beds,0.77,0.58,1.11,"Tauxe, 2005",hematite,EI,105
Yan2005,Gudie,fluvial sediments,0.63,0.47,0.73,"Yan et al., 2005",mixed,EI,627
Kent2005_1,Dan River,red siltstone and gray/black mud,0.59,0.49,0.74,"Kent and Tauxe, 2005",mixed,EI,333
Kent2005_2,Princeton,red beds,0.57,0.39,1.04,"Kent and Tauxe, 2005",hematite,EI,148
Kent2005_3,Nursery,red beds,0.4,0.33,0.54,"Kent and Tauxe, 2005",hematite,EI,194
Kent2005_4,Titusville,red beds,0.63,0.54,0.76,"Kent and Tauxe, 2005",hematite,EI,308
Kent2005_5,Rutgers,red beds,0.66,0.57,0.73,"Kent and Tauxe, 2005",hematite,EI,336
Kent2005_6,Somerset,red beds,0.63,0.53,0.73,"Kent and Tauxe, 2005",hematite,EI,309
Kent2005_7,Weston,red beds,0.49,0.42,0.59,"Kent and Tauxe, 2005",hematite,EI,246
Kent2005_8,Martinsville,red beds,0.49,0.42,0.59,"Kent and Tauxe, 2005",hematite,EI,302
Kent2005_9,St. Audrie's Bay,red beds,0.68,0.59,1.02,"Kent and Tauxe, 2005",hematite,EI,27
Kent2005_10,Jameson Land,red beds,0.58,0.47,0.81,"Kent and Tauxe, 2005",hematite,EI,222
KentTauxe2008,Hartford,red beds,0.54,0.48,0.62,"Kent and Olson, 2008",hematite,EI,315
Krijgsman2004,Calatayud basin,fluvial and lacustrine sediments,0.73,0.63,0.84,"Krijgsman and Tauxe, 2004",mixed,EI,648
Krijgsman2006,Nanaimo,marine mud- and siltstones,0.97,0.79,1.05,"Krijgsman and Tauxe, 2006",magnetite,EI,143
Van-Hinsbergen2007_1,Ag. Giorgios & Monolithos,palustrine and lacustrine sediments,0.84,0.46,1.03,"Van Hinsbergen et al., 2007",magnetite,EI,42
Van-Hinsbergen2007_2,Kefala & Aspropetres,palustrine and lacustrine sediments,0.59,0.37,0.89,"Van Hinsbergen et al., 2007",magnetite,EI,75
Tauxe2008,Nacimiento,claystones and siltstones,0.84,0.5,1.01,"Tauxe et al., 2008",hematite,EI,102
Haldan2009_1,Dome de Barrot,red mudstone and purple siltstone,0.9,0.79,1.03,"Haldan et al., 2009",hematite,EI,411
Haldan2009_2,Lodeve (Kungurian – Wordian),red siltstones and calcareous siltstone,0.78,0.37,1,"Haldan et al., 2009",mixed,EI,146
Haldan2009_3,Lodeve (Sakmarian-Artinskian),red siltstones and calcareous siltstone,0.83,0.63,1.16,"Haldan et al., 2009",mixed,EI,143
Costa2009,Artes,red beds,0.58,0.42,0.77,"Costa et al., 2009",mixed,EI,221
Meijers2010,TA5,turbiditic volcanoclastics,0.94,0.68,1,"Meijers et al., 2010",magnetite,EI,115
Dupont2010_1,Ctg‐Xsh,red beds,0.78,0.51,1,"Dupont-Nivet et al., 2010",mixed,EI,95
Dupont2010_2,Xiejia,red beds,0.9,0.72,1.04,"Dupont-Nivet et al., 2010",mixed,EI,185
Dupont2010_3,Mahalagou,red beds,0.68,0.54,0.78,"Dupont-Nivet et al., 2010",mixed,EI,228
Tan2010,Shexing,red beds,0.48,0.44,0.52,"Tan et al., 2010",hematite,EI,377
Van-Hinsbergen2010,Korkuteli,blue clays and turbiditic sandstone,0.67,0.53,0.83,"Van Hinsbergen et al., 2010",mixed,EI,192
Van-Hinsbergen2012,Shexing,red beds,0.66,0.53,0.91,"Van Hinsbergen et al., 2012",hematite,EI,100
Lanci2013,Karoo basin,"fluvial sand-, silt- and mudstone",0.7,0.41,0.9,"Lanci et al., 2013",magnetite,EI,136
Huang2013,Linzizong,volcaniclastics and mudstones,0.43,0.32,0.57,"Hunag et al., 2013 ",magnetite,EI,119
Tong2013,Mengla,red beds,0.45,0.38,0.55,"Tong et al., 2013",mixed,EI,85
Kirsher2014_1,Sonkul Basin (DUN),red beds,0.58,0.44,0.8,"Kirsher et al, 2014",hematite,EI,115
Kirsher2014_2,Sonkul Basin (DUN),red beds,0.58,0.44,0.8,"Kirsher et al, 2014",magnetite,EI,115
Ding2015_1,Kangtuo lower section,red beds,0.53,0.46,0.6,"Ding et al., 2015",hematite,EI,414
Ding2015_2,Kangtuo upper section,red beds,0.42,0.33,0.56,"Ding et al., 2015",hematite,EI,137
Huang2015,Sangsang,turbiditic sandstones,0.51,0.4,0.66,"Hunag et al., 2015",magnetite,EI,117
Chen2017,Qushenla,red beds,0.61,0.49,0.76,"Chen et al, 2017",mixed,EI,174
Meng2017,Sangsang,red beds,0.52,0.42,0.72,"Meng et al., 2017",mixed,EI,223
Tong2017_1,Gonjo NE limb,red beds,0.62,0.52,0.78,"Tong et al., 2017",mixed,EI,102
Tong2017_2,Gonjo SW limb,red beds,0.73,0.58,0.94,"Tong et al., 2017",mixed,EI,203
Zhang2018_1,Gongjue,red beds,0.66,0.54,0.81,"Zhang et al., 2018",mixed,EI,150
